Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
LOC_Os03g04640,Chr3,2178693,2180216,"cytochrome P450 protein, putative, expressed"
LOC_Os02g26490,Chr2,15560193,15561356,expressed protein
LOC_Os05g30535,Chr5,17696075,17696997,hypothetical protein
LOC_Os06g38440,Chr6,22777166,22778111,expressed protein
LOC_Os11g07530,Chr11,3817819,3819759,expressed protein
LOC_Os01g13070,Chr1,7276019,7277972,expressed protein
LOC_Os01g73430,Chr1,42549843,42556862,"RNA polymerase IV largest subunit, putative, expressed"
LOC_Os01g49190,Chr1,28277699,28282019,"ATP synthase, putative, expressed"
LOC_Os01g33720,Chr1,18559025,18559598,hypothetical protein
LOC_Os01g70970,Chr1,41079469,41082009,"protein kinase, putative, expressed"
LOC_Os03g26360,Chr3,15070812,15075288,expressed protein
LOC_Os12g36130,Chr12,22149538,22150526,expressed protein
LOC_Os07g27450,Chr7,15990882,15994107,expressed protein
LOC_Os03g44800,Chr3,25264262,25267958,"DUF593 domain containing protein, expressed"
LOC_Os09g14010,Chr9,8264589,8268015,"disease resistance protein RPS2, putative, expressed"
LOC_Os06g48520,Chr6,29352930,29356136,"disease resistance protein RPM1, putative, expressed"
LOC_Os05g23590,Chr5,13523777,13528357,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os10g08014,Chr10,4326744,4333006,"white-brown complex homolog protein 11, putative, expressed"
LOC_Os04g58780,Chr4,34958612,34970112,"pentatricopeptide repeat protein, putative, expressed"
LOC_Os05g10330,Chr5,5638522,5641118,"HAD superfamily phosphatase, putative, expressed"
LOC_Os01g43860,Chr1,25128473,25129967,expressed protein
LOC_Os08g31980,Chr8,19830328,19836087,"trehalose-6-phosphate synthase, putative, expressed"
LOC_Os11g34360,Chr11,20136206,20140598,"lung seven transmembrane domain containing protein, putative, expressed"
LOC_Os06g03380,Chr6,1289047,1291621,expressed protein
LOC_Os10g31640,Chr10,16581496,16582365,"glycine-rich cell wall structural protein 2 precursor, putative, expressed"
LOC_Os10g10030,Chr10,5442144,5449074,"OsWAK111 - OsWAK receptor-like protein kinase, expressed"
LOC_Os12g05950,Chr12,2741004,2741424,hypothetical protein
LOC_Os01g70430,Chr1,40794124,40796977,"oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed"
LOC_Os03g42500,Chr3,23644298,23645268,expressed protein
LOC_Os07g31330,Chr7,18551999,18553103,expressed protein
LOC_Os07g45960,Chr7,27425532,27426124,expressed protein
LOC_Os03g08660,Chr3,4464190,4465095,"serine acetyltransferase protein, putative, expressed"
LOC_Os06g08120,Chr6,3941687,3943447,"plant protein of unknown function domain containing protein, expressed"
LOC_Os09g10700,Chr9,5829396,5831641,hypothetical protein
LOC_Os01g32930,Chr1,18077464,18078185,"SGS domain containing protein, expressed"
LOC_Os06g39970,Chr6,23777679,23780888,"CESA11 - cellulose synthase, expressed"
LOC_Os07g14180,Chr7,8091377,8091754,expressed protein
LOC_Os05g44270,Chr5,25760309,25761442,"VQ domain containing protein, putative, expressed"
LOC_Os04g26170,Chr4,15259303,15261107,expressed protein
LOC_Os10g28840,Chr10,15036094,15036951,"speckle-type POZ protein, putative, expressed"
LOC_Os07g45290,Chr7,27019245,27023518,"cytochrome P450 72A1, putative, expressed"
LOC_Os04g01970,Chr4,602300,608879,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member, putative, expressed"
LOC_Os03g21700,Chr3,12390064,12391618,"DNA-binding protein, putative, expressed"
LOC_Os08g43120,Chr8,27268083,27277540,"Plant PDR ABC transporter associated domain containing protein, expressed"
LOC_Os01g55549,Chr1,32006374,32009784,"homeobox and START domains containing protein, putative, expressed"
LOC_Os06g04620,Chr6,2017778,2019458,"GDP-mannose 4,6 dehydratase 2, putative, expressed"
LOC_Os07g08260,Chr7,4212567,4213087,expressed protein
LOC_Os02g21130,Chr2,12545020,12548081,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os08g31910,Chr8,19775216,19781534,expressed protein
LOC_Os02g37730,Chr2,22772062,22774258,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os06g22394,Chr6,13009938,13010619,expressed protein
LOC_Os07g32280,Chr7,19183976,19184711,hypothetical protein
LOC_Os01g57690,Chr1,33350046,33351363,"early nodulin 20 precursor, putative, expressed"
LOC_Os12g28210,Chr12,16662266,16662907,"retrotransposon, putative, centromere-specific"
LOC_Os09g29380,Chr9,17835905,17838028,expressed protein
LOC_Os06g17540,Chr6,10172849,10173652,expressed protein
LOC_Os08g19140,Chr8,11442523,11453895,"adenylate kinase family protein, putative, expressed"
LOC_Os03g33570,Chr3,19176090,19177371,"calcineurin B-like protein 8, putative, expressed"
LOC_Os11g35390,Chr11,20735091,20737678,"MYB family transcription factor, putative, expressed"
LOC_Os06g18900,Chr6,10738692,10742348,"cadmium tolerance factor, putative, expressed"
LOC_Os01g70080,Chr1,40556007,40561361,"NB-ARC domain containing protein, expressed"
LOC_Os03g54220,Chr3,31082636,31087238,expressed protein
LOC_Os08g14870,Chr8,8963793,8964128,hypothetical protein
LOC_Os12g14699,Chr12,8407895,8417654,"protein kinase domain containing protein, expressed"
LOC_Os10g10880,Chr10,6024491,6027999,expressed protein
LOC_Os03g56810,Chr3,32371758,32374910,"tubulin/FtsZ domain containing protein, putative, expressed"
LOC_Os02g27540,Chr2,16311925,16315043,"NB-ARC domain containing protein, expressed"
LOC_Os05g01940,Chr5,537846,539668,"zinc finger, RING-type, putative, expressed"
LOC_Os11g25020,Chr11,14248284,14249455,"plant-specific domain TIGR01615 family protein, expressed"
LOC_Os01g71350,Chr1,41349731,41351148,"glycosyl hydrolases family 17, putative, expressed"
LOC_Os02g26330,Chr2,15467101,15467857,expressed protein
LOC_Os07g01810,Chr7,467286,468754,"potassium channel protein, putative, expressed"
LOC_Os08g23600,Chr8,14288039,14289215,expressed protein
LOC_Os09g23340,Chr9,13854699,13856181,expressed protein
LOC_Os07g13700,Chr7,7864473,7867385,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os02g37910,Chr2,22910959,22915808,expressed protein
LOC_Os04g48880,Chr4,29157213,29159281,"fatty acid hydroxylase, putative, expressed"
LOC_Os03g29140,Chr3,16548368,16550021,expressed protein
LOC_Os11g01370,Chr11,227277,231875,"PMR5, putative, expressed"
LOC_Os02g35110,Chr2,21073952,21075232,"tubulin binding cofactor C, putative, expressed"
LOC_Os08g14210,Chr8,8493861,8495316,"glycosyl hydrolases family 16, putative, expressed"
LOC_Os03g04350,Chr3,2008244,2008611,expressed protein
LOC_Os07g34180,Chr7,20452898,20453215,expressed protein
LOC_Os12g38380,Chr12,23545363,23554545,"tetratricopeptide repeat containing protein, putative, expressed"
LOC_Os01g65480,Chr1,38009626,38012278,"dnaJ domain containing protein, expressed"
LOC_Os12g37780,Chr12,23196484,23200800,"tetratricopeptide repeat domain containing protein, expressed"
LOC_Os06g23530,Chr6,13723594,13727110,"pre-mRNA-splicing factor ATP-dependent RNA helicase, putative, expressed"
LOC_Os01g02440,Chr1,789967,792411,"Ser/Thr receptor-like kinase, putative, expressed"
LOC_Os07g09280,Chr7,4863183,4864329,expressed protein
LOC_Os01g48110,Chr1,27542418,27542952,hypothetical protein
LOC_Os07g41240,Chr7,24713778,24715813,"cytochrome P450, putative, expressed"
LOC_Os11g02450,Chr11,734246,737188,"elongation factor P, putative, expressed"
LOC_Os11g05540,Chr11,2500432,2505233,"rhoGAP domain containing protein, expressed"
LOC_Os01g20160,Chr1,11458955,11463442,"OsHKT1;5 - Na+ transporter, expressed"
LOC_Os07g23494,Chr7,13276214,13283664,expressed protein
LOC_Os03g18729,Chr3,10484299,10484871,expressed protein
LOC_Os01g51740,Chr1,29755249,29755833,expressed protein
LOC_Os03g01170,Chr3,115789,119092,"transporter family protein, putative, expressed"
LOC_Os02g45580,Chr2,27731899,27732267,"glucosyltransferase, putative, expressed"
LOC_Os05g17800,Chr5,10233383,10234638,"SHR5-receptor-like kinase, putative, expressed"
LOC_Os01g46910,Chr1,26767671,26769190,"microneme protein Sm70, putative, expressed"
LOC_Os05g46890,Chr5,27139101,27142126,expressed protein
LOC_Os06g40180,Chr6,23921940,23924921,"phospholipase D, putative, expressed"
LOC_Os10g30770,Chr10,16027859,16029439,"inorganic phosphate transporter, putative, expressed"
LOC_Os12g44300,Chr12,27461636,27464384,"CHX28, putative, expressed"
LOC_Os10g25690,Chr10,13305402,13307756,hypothetical protein
LOC_Os07g19330,Chr7,11437796,11438461,expressed protein
LOC_Os11g46140,Chr11,27928731,27931045,"stripe rust resistance protein Yr10, putative, expressed"
LOC_Os03g44610,Chr3,25116154,25124259,"IQ calmodulin-binding motif domain containing protein, expressed"
LOC_Os10g10420,Chr10,5720841,5722187,"OsFBX378 - F-box domain containing protein, expressed"
LOC_Os11g23242,Chr11,13404251,13404496,expressed protein
LOC_Os07g43810,Chr7,26211745,26214023,"RNA recognition motif containing protein, putative, expressed"
LOC_Os02g21850,Chr2,12994065,12995654,hypothetical protein
LOC_Os06g10130,Chr6,5179712,5180748,expressed protein
LOC_Os09g33700,Chr9,19907801,19908043,expressed protein
LOC_Os06g43700,Chr6,26312602,26315063,"transmembrane amino acid transporter protein, putative, expressed"
LOC_Os08g13670,Chr8,8135846,8136846,expressed protein
LOC_Os06g01640,Chr6,375706,382683,"arginine N-methyltransferase 7, putative, expressed"
LOC_Os05g05580,Chr5,2767332,2775704,expressed protein
LOC_Os06g46390,Chr6,28148939,28149789,"LSM domain containing protein, expressed"
LOC_Os11g09190,Chr11,4931980,4933854,expressed protein
LOC_Os11g34660,Chr11,20291120,20313958,"LTPL98 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
LOC_Os01g48720,Chr1,27938768,27947047,"RNA polymerase III subunit RPC82 family protein, putative, expressed"
LOC_Os02g27100,Chr2,15926180,15927914,expressed protein
LOC_Os11g35410,Chr11,20748603,20751918,expressed protein
LOC_Os12g35980,Chr12,21995080,21996942,hypothetical protein
LOC_Os04g29770,Chr4,17739613,17741879,"wall-associated receptor kinase-like 3 precursor, putative, expressed"
LOC_Os08g32000,Chr8,19852088,19852354,expressed protein
LOC_Os02g05570,Chr2,2702806,2706492,"transposon protein, putative, CACTA, En/Spm sub-class"
LOC_Os10g38730,Chr10,20631060,20631912,"glutathione S-transferase, putative, expressed"
LOC_Os02g58460,Chr2,35747230,35751292,"beta-catenin-like protein 1, putative, expressed"
LOC_Os05g44340,Chr5,25803530,25807160,"heat shock protein 101, putative, expressed"
LOC_Os12g18640,Chr12,10766538,10769036,"pentatricopeptide, putative, expressed"
LOC_Os09g24840,Chr9,14828981,14830528,"GASR10 - Gibberellin-regulated GASA/GAST/Snakin family protein precursor, expressed"
LOC_Os05g39990,Chr5,23495606,23497572,"expansin precursor, putative, expressed"
LOC_Os02g09720,Chr2,4988483,4998043,"multidrug resistance protein, putative, expressed"
LOC_Os09g16220,Chr9,9900754,9904721,expressed protein
LOC_Os11g35610,Chr11,20884500,20884860,hypothetical protein
LOC_Os08g16820,Chr8,10292041,10292869,"retrotransposon protein, putative, SINE subclass, expressed"
LOC_Os05g28970,Chr5,16987047,16988863,expressed protein
LOC_Os04g26270,Chr4,15318825,15319378,hypothetical protein
LOC_Os02g25830,Chr2,15134001,15134819,expressed protein
LOC_Os11g47670,Chr11,28781161,28782202,"thaumatin family domain containing protein, expressed"
LOC_Os04g16738,Chr4,9113637,9114419,"chloroplast 30S ribosomal protein S4, putative, expressed"
LOC_Os12g27770,Chr12,16370113,16373651,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os10g27110,Chr10,14288995,14291131,expressed protein
LOC_Os08g45190,Chr8,28377770,28378921,"PGR5, putative, expressed"
LOC_Os02g16709,Chr2,9544161,9550627,"peptidase, putative, expressed"
LOC_Os01g52290,Chr1,30058008,30060963,expressed protein
LOC_Os04g05250,Chr4,2616282,2616967,"PE-PGRS family protein, putative, expressed"
LOC_Os05g34540,Chr5,20477181,20483634,"rab GDP dissociation inhibitor alpha, putative, expressed"
LOC_Os08g42860,Chr8,27098781,27101502,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os11g23930,Chr11,13559935,13560946,expressed protein
LOC_Os07g24560,Chr7,13984224,13987214,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os05g33554,Chr5,19705356,19707432,"methyl-binding domain protein MBD, putative, expressed"
LOC_Os02g49790,Chr2,30435028,30437515,"aluminum-activated malate transporter, putative, expressed"
LOC_Os03g46780,Chr3,26462243,26464372,expressed protein
LOC_Os12g28760,Chr12,16999331,16999837,expressed protein
LOC_Os10g06700,Chr10,3468006,3469320,"OsFBX375 - F-box domain containing protein, expressed"
LOC_Os08g02740,Chr8,1151539,1152654,expressed protein
LOC_Os02g42540,Chr2,25576772,25579174,expressed protein
LOC_Os04g41870,Chr4,24810296,24811141,expressed protein
LOC_Os06g49840,Chr6,30173485,30178066,"OsMADS16 - MADS-box family gene with MIKCc type-box, expressed"
LOC_Os06g51300,Chr6,31063168,31063449,expressed protein
LOC_Os04g33040,Chr4,20006128,20009276,"alpha-amylase precursor, putative, expressed"
LOC_Os07g18550,Chr7,10975389,10975802,hypothetical protein
LOC_Os06g46070,Chr6,27934524,27935658,hypothetical protein
LOC_Os02g31924,Chr2,18861405,18862005,expressed protein
LOC_Os05g11300,Chr5,6380147,6380983,expressed protein
LOC_Os09g26600,Chr9,16129617,16130069,expressed protein
LOC_Os02g21530,Chr2,12777849,12778817,expressed protein
LOC_Os03g28389,Chr3,16358668,16359485,expressed protein
LOC_Os12g25630,Chr12,14827312,14830607,"sulfite oxidase, putative, expressed"
LOC_Os12g05110,Chr12,2245322,2249836,"pyruvate kinase, putative, expressed"
LOC_Os10g13500,Chr10,7298801,7299998,expressed protein
LOC_Os06g41570,Chr6,24913097,24913579,hypothetical protein
LOC_Os07g17330,Chr7,10231829,10232702,"B12D protein, putative, expressed"
LOC_Os10g33750,Chr10,17827395,17829530,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os03g21040,Chr3,11957261,11959777,"stress responsive protein, putative, expressed"
LOC_Os12g30490,Chr12,18301225,18305712,"ribosomal protein L4, putative, expressed"
LOC_Os02g04110,Chr2,1788746,1792598,expressed protein
LOC_Os07g35880,Chr7,21471055,21473327,"beta-amylase, putative, expressed"
LOC_Os01g57294,Chr1,33115205,33115987,expressed protein
LOC_Os07g37880,Chr7,22718128,22718349,hypothetical protein
LOC_Os04g10180,Chr4,5505945,5507433,expressed protein
LOC_Os10g01650,Chr10,431802,433551,"transferase family protein, putative, expressed"
LOC_Os02g39310,Chr2,23738250,23738519,expressed protein
LOC_Os05g12010,Chr5,6867158,6868241,hypothetical protein
LOC_Os06g16970,Chr6,9837650,9838051,hypothetical protein
LOC_Os03g31679,Chr3,18085558,18087371,"annexin A7, putative, expressed"
LOC_Os11g05900,Chr11,2774407,2777006,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os03g01014,Chr3,13193,16729,expressed protein
LOC_Os01g08340,Chr1,4091068,4094859,"zinc finger family protein, putative, expressed"
LOC_Os03g28180,Chr3,16220335,16221937,expressed protein
LOC_Os05g37730,Chr5,22081343,22083544,"MYB family transcription factor, putative, expressed"
LOC_Os06g51530,Chr6,31223501,31226586,"ribosomal protein L29, putative, expressed"
LOC_Os07g02820,Chr7,1061133,1062408,expressed protein
LOC_Os08g03650,Chr8,1723629,1729995,"BTBN17 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed"
LOC_Os02g14830,Chr2,8240994,8242953,expressed protein
LOC_Os05g23840,Chr5,13702736,13706423,expressed protein
LOC_Os09g01590,Chr9,410594,419218,"triacylglycerol lipase 1 precursor, putative, expressed"
LOC_Os02g17900,Chr2,10363979,10365536,"glycosyl hydrolases family 16, putative, expressed"
LOC_Os12g01280,Chr12,160989,161258,expressed protein
LOC_Os12g19260,Chr12,11166091,11169301,"tetratricopeptide-like helical, putative, expressed"
LOC_Os06g02730,Chr6,978316,979809,"aspartic proteinase nepenthesin-2 precursor, putative, expressed"
LOC_Os05g33220,Chr5,19480814,19482180,"AWPM-19-like membrane family protein, putative, expressed"
LOC_Os02g20430,Chr2,12054833,12057372,"WD domain, G-beta repeat domain containing protein, expressed"
LOC_Os10g29540,Chr10,15341885,15350995,"protein kinase domain containing protein, expressed"
LOC_Os01g38130,Chr1,21349838,21350379,expressed protein
LOC_Os02g53820,Chr2,32961962,32964520,"endoglucanase, putative, expressed"
LOC_Os12g02790,Chr12,986410,987157,expressed protein
LOC_Os02g09780,Chr2,5045335,5047101,"phytoene dehydrogenase-like, putative, expressed"
LOC_Os05g37640,Chr5,22029223,22031044,expressed protein
LOC_Os06g28124,Chr6,15968621,15974049,"glycosyltransferase, putative, expressed"
LOC_Os08g25450,Chr8,15490982,15491542,expressed protein
LOC_Os01g01980,Chr1,529367,530008,expressed protein
LOC_Os11g03050,Chr11,1071346,1076828,"cytidylyltransferase domain containing protein, expressed"
LOC_Os11g21930,Chr11,12582527,12582947,hypothetical protein
LOC_Os06g34540,Chr6,20093404,20094054,expressed protein
LOC_Os01g70700,Chr1,40926204,40929357,expressed protein
LOC_Os05g46395,Chr5,26894623,26896314,expressed protein
LOC_Os12g08360,Chr12,4252924,4255134,expressed protein
LOC_Os03g47380,Chr3,26794328,26795567,expressed protein
LOC_Os01g63320,Chr1,36704087,36705076,"transposon protein, putative, CACTA, En/Spm sub-class"
LOC_Os04g35030,Chr4,21288130,21293643,"CSLH3 - cellulose synthase-like family H, expressed"
LOC_Os11g16520,Chr11,9142135,9142383,expressed protein
LOC_Os07g18660,Chr7,11026595,11031323,hypothetical protein
LOC_Os08g43680,Chr8,27609346,27614931,"glutathione S-transferase, C-terminal domain containing protein, expressed"
LOC_Os02g07010,Chr2,3580317,3581779,expressed protein
LOC_Os09g31980,Chr9,19082709,19084550,"DC1 domain-containing protein, putative, expressed"
LOC_Os05g28780,Chr5,16874881,16876840,"GCRP10 - Glycine and cysteine rich family protein precursor, expressed"
LOC_Os06g14420,Chr6,8068591,8070044,"hydrolase, NUDIX family, domain containing protein, expressed"
LOC_Os04g50864,Chr4,30081062,30084230,expressed protein
LOC_Os03g63900,Chr3,36103513,36105068,"1-aminocyclopropane-1-carboxylate oxidase 2, putative, expressed"
LOC_Os09g03790,Chr9,1921818,1922186,expressed protein
LOC_Os02g52790,Chr2,32282674,32283276,"PB1 domain containing protein, expressed"
LOC_Os05g43550,Chr5,25317044,25318342,"Eukaryotic aspartyl protease domain containing protein, expressed"
LOC_Os01g61160,Chr1,35402795,35405309,"laccase precursor protein, putative, expressed"
LOC_Os04g25060,Chr4,14453467,14454812,"cysteine-rich receptor-like protein kinase, putative, expressed"
LOC_Os11g29220,Chr11,16941275,16941658,hypothetical protein
LOC_Os11g31510,Chr11,18417045,18418274,"transposon protein, putative, Pong sub-class, expressed"
LOC_Os03g37100,Chr3,20563322,20565066,"DTW domain containing protein, putative, expressed"
LOC_Os04g26834,Chr4,15844553,15853785,"eukaryotic aspartyl protease domain containing protein, expressed"
LOC_Os01g51250,Chr1,29458644,29463035,"mitochondrial carrier protein, putative, expressed"
LOC_Os04g52670,Chr4,31349656,31350722,"OsSAUR21 - Auxin-responsive SAUR gene family member, expressed"
LOC_Os10g28600,Chr10,14897142,14900931,"PPR repeat domain containing protein, putative, expressed"
LOC_Os03g05120,Chr3,2491953,2492965,expressed protein
LOC_Os08g10010,Chr8,5787482,5789140,"acyl-desaturase, chloroplast precursor, putative, expressed"
LOC_Os03g49900,Chr3,28448814,28456412,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os01g70670,Chr1,40915335,40920785,"BTBM1 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
LOC_Os05g14480,Chr5,8176505,8178614,expressed protein
LOC_Os05g33430,Chr5,19645657,19647398,"xyloglucanase inhibitor, putative, expressed"
LOC_Os04g16830,Chr4,9190922,9195969,"DNA-directed RNA polymerase subunit beta, putative, expressed"
LOC_Os02g30870,Chr2,18418934,18419798,expressed protein
LOC_Os09g03970,Chr9,2040785,2041266,conserved hypothetical protein
LOC_Os10g07626,Chr10,4237190,4237630,hypothetical protein
LOC_Os04g10550,Chr4,5736755,5737063,expressed protein
LOC_Os03g33509,Chr3,19145160,19145521,expressed protein
LOC_Os08g14570,Chr8,8760073,8765208,"NADPH reductase, putative, expressed"
LOC_Os07g03760,Chr7,1541164,1543677,"26S proteasome non-ATPase regulatory subunit 14, putative, expressed"
LOC_Os10g34880,Chr10,18607837,18612932,"ulp1 protease family, C-terminal catalytic domain containing protein, expressed"
LOC_Os08g15090,Chr8,9127977,9136745,"diacylglycerol kinase catalytic domain family protein, expressed"
LOC_Os08g06100,Chr8,3337751,3340959,"O-methyltransferase, putative, expressed"
LOC_Os06g50140,Chr6,30364054,30366662,"endoglucanase, putative, expressed"
LOC_Os08g13110,Chr8,7783342,7783842,hypothetical protein
LOC_Os09g21210,Chr9,12802546,12805261,"beta-glucan-binding protein 4, putative, expressed"
LOC_Os10g10820,Chr10,5985747,5988705,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os02g12370,Chr2,6443131,6445362,expressed protein
LOC_Os03g44330,Chr3,24927897,24928103,hypothetical protein
LOC_Os02g28670,Chr2,16962226,16963868,expressed protein
LOC_Os03g31944,Chr3,18279278,18280174,expressed protein
LOC_Os03g07490,Chr3,3807593,3807799,expressed protein
LOC_Os03g58560,Chr3,33344239,33344745,hypothetical protein
LOC_Os02g39370,Chr2,23761122,23765878,"tRNA methyltransferase, putative, expressed"
LOC_Os09g39630,Chr9,22742144,22743177,conserved hypothetical protein
LOC_Os04g40440,Chr4,24032526,24036100,expressed protein
LOC_Os08g05110,Chr8,2639351,2640161,expressed protein
LOC_Os11g29810,Chr11,17298810,17299535,expressed protein
LOC_Os06g31190,Chr6,18116310,18121223,"intracellular protein transport protein USO1-related, putative, expressed"
LOC_Os04g28670,Chr4,16983022,16984581,expressed protein
LOC_Os08g40540,Chr8,25667017,25668442,expressed protein
LOC_Os10g24260,Chr10,12433819,12434487,expressed protein
LOC_Os01g65220,Chr1,37844923,37852799,"XRN 5'-3' exonuclease N-terminus domain containing protein, expressed"
LOC_Os10g01710,Chr10,461268,461776,hypothetical protein
LOC_Os07g09600,Chr7,5095638,5099512,"vesicle-associated membrane protein, putative, expressed"
LOC_Os02g16430,Chr2,9374342,9376534,"transposon protein, putative, unclassified, expressed"
LOC_Os12g18170,Chr12,10486870,10487832,expressed protein
LOC_Os03g62539,Chr3,35410423,35412622,expressed protein
LOC_Os02g24470,Chr2,14176115,14176588,expressed protein
LOC_Os05g44760,Chr5,26017295,26022937,"hexokinase, putative, expressed"
LOC_Os01g49440,Chr1,28431913,28433406,expressed protein
LOC_Os07g37960,Chr7,22780108,22783758,"exostosin family domain containing protein, expressed"
LOC_Os05g48890,Chr5,28047335,28048343,"fasciclin domain containing protein, expressed"
LOC_Os04g48380,Chr4,28854056,28854955,"lysM domain containing protein, putative, expressed"
LOC_Os03g24610,Chr3,14015261,14018643,"endonuclease/exonuclease/phosphatase family domain containing protein, expressed"
LOC_Os12g10630,Chr12,5674256,5677476,"ZF-HD protein dimerisation region containing protein, expressed"
LOC_Os03g01970,Chr3,602461,609356,"THO complex subunit 1, putative, expressed"
LOC_Os11g30300,Chr11,17598931,17599317,expressed protein
LOC_Os02g04210,Chr2,1848216,1848884,expressed protein
LOC_Os04g28260,Chr4,16698985,16707481,"Kinesin motor domain domain containing protein, expressed"
LOC_Os05g51450,Chr5,29495797,29499479,"OsClp8 - Putative Clp protease homologue, expressed"
LOC_Os06g51360,Chr6,31105333,31107967,"lysM domain containing protein, putative, expressed"
LOC_Os01g07000,Chr1,3300442,3301010,"POEI37 - Pollen Ole e I allergen and extensin family protein precursor, putative, expressed"
LOC_Os04g07260,Chr4,3853320,3857891,expressed protein
LOC_Os05g40070,Chr5,23536113,23539013,"WRKY84, expressed"
LOC_Os11g33942,Chr11,19838907,19839752,"plant protein of unknown function domain containing protein, expressed"
LOC_Os02g36440,Chr2,22007473,22012100,"transporter family protein, putative, expressed"
LOC_Os11g16360,Chr11,9025390,9025611,expressed protein
LOC_Os02g54460,Chr2,33356230,33357352,expressed protein
LOC_Os11g01400,Chr11,247080,250716,expressed protein
LOC_Os04g41189,Chr4,24427104,24427367,expressed protein
LOC_Os08g03230,Chr8,1500612,1502303,hypothetical protein
LOC_Os03g25920,Chr3,14836333,14839122,"amino acid permease family protein, putative, expressed"
LOC_Os03g01930,Chr3,571684,574066,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os06g47980,Chr6,29011061,29011585,expressed protein
LOC_Os09g38360,Chr9,22090279,22091358,expressed protein
LOC_Os10g41100,Chr10,22069629,22072449,"CCT motif family protein, expressed"
LOC_Os10g41083,Chr10,22062365,22065838,"uncharacterized Cys-rich domain containing protein, putative, expressed"
LOC_Os03g06340,Chr3,3170103,3176437,"XS domain containing protein, expressed"
LOC_Os02g37600,Chr2,22692565,22694086,expressed protein
LOC_Os11g15030,Chr11,8457135,8460242,"SAM dependent carboxyl methyltransferase, putative, expressed"
LOC_Os05g40400,Chr5,23739164,23739799,"harpin-induced protein 1 domain containing protein, expressed"
LOC_Os05g39600,Chr5,23251135,23254415,"ATCHX15, putative, expressed"
LOC_Os10g24880,Chr10,12790144,12790683,expressed protein
LOC_Os08g39250,Chr8,24800476,24807038,"EDM2, putative, expressed"
LOC_Os03g09020,Chr3,4682685,4685130,"dehydrogenase, putative, expressed"
LOC_Os12g31550,Chr12,18972204,18977828,expressed protein
LOC_Os10g17810,Chr10,9008482,9011392,hypothetical protein
LOC_Os12g13020,Chr12,7217431,7220865,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os01g37780,Chr1,21134917,21136416,expressed protein
LOC_Os07g11520,Chr7,6345172,6348178,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os04g31880,Chr4,19084460,19086390,expressed protein
LOC_Os07g03377,Chr7,1355678,1356148,"SCP-like extracellular protein, expressed"
LOC_Os07g39840,Chr7,23888290,23891639,expressed protein
LOC_Os03g58570,Chr3,33346109,33349987,"WD domain, G-beta repeat domain containing protein, expressed"
LOC_Os02g28310,Chr2,16732589,16734631,expressed protein
LOC_Os09g19330,Chr9,11563902,11565177,"stripe rust resistance protein Yr10, putative, expressed"
LOC_Os01g59730,Chr1,34550353,34552638,"ribosomal protein L7Ae, putative, expressed"
LOC_Os09g35730,Chr9,20549805,20553307,"OsRhmbd16 - Putative Rhomboid homologue, expressed"
LOC_Os10g35050,Chr10,18701132,18702561,"aquaporin protein, putative, expressed"
LOC_Os04g38520,Chr4,22890295,22892744,"CPuORF18 - conserved peptide uORF-containing transcript, expressed"
LOC_Os12g02260,Chr12,707530,715414,"nucleotidyltransferase, putative, expressed"
LOC_Os12g39450,Chr12,24315168,24316705,expressed protein
LOC_Os06g27970,Chr6,15863214,15872704,"FKBP12-interacting protein of 37 kDa, putative, expressed"
LOC_Os03g16010,Chr3,8827645,8833588,"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed"
LOC_Os02g53600,Chr2,32783244,32783614,"DEFL75 - Defensin and Defensin-like DEFL family, expressed"
LOC_Os12g27630,Chr12,16262715,16266384,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os07g28280,Chr7,16522444,16524087,"ubiquitin-related modifier 1, putative, expressed"
LOC_Os06g51160,Chr6,30948619,30951470,"glycosyl transferase family 8, putative, expressed"
LOC_Os09g25600,Chr9,15364891,15369757,"AP2 domain containing protein, expressed"
